make,model,car_type,upcharge_percentage
Hyundai,IONIQ 6,Standard,0
Hyundai,IONIQ 7,Standard,0
Hyundai,Ioniq Electric,Standard,0
Hyundai,Ioniq Hybrid,Standard,0
Hyundai,Ioniq Plug-in Hybrid,Standard,0
Hyundai,Kona,Standard,0
Hyundai,Kona Electric,Standard,0
Hyundai,Kona N,Standard,0
Hyundai,NEXO,Standard,0
Hyundai,Palisade,Standard,0
Hyundai,Santa Cruz,Standard,0
Hyundai,Santa Fe,Standard,0
Hyundai,Santa Fe Hybrid,Standard,0
Hyundai,Santa Fe Plug-in Hybrid,Standard,0
Hyundai,Santa Fe Sport,Standard,0
Hyundai,Santa Fe XL,Standard,0
Hyundai,Scoupe,Standard,0
Hyundai,Sonata,Standard,0
Hyundai,Sonata Hybrid,Standard,0
Hyundai,Sonata Plug-in Hybrid,Standard,0
Hyundai,Tiburon,Standard,0
Hyundai,Tucson,Standard,0
Hyundai,Tucson Fuel Cell,Standard,0
Hyundai,Tucson Hybrid,Standard,0
Hyundai,Tucson Plug-in Hybrid,Standard,0
Hyundai,Veloster,Standard,0
Hyundai,Venue,Standard,0
Hyundai,Veracruz,Standard,0
Hyundai,XG300,Standard,0
Hyundai,XG350,Standard,0
INFINITI,EX,Standard,0
INFINITI,FX,Standard,0
INFINITI,G,Standard,0
INFINITI,I,Standard,0
INFINITI,J,Standard,0
INFINITI,JX,Standard,0
INFINITI,M,Standard,0
INFINITI,Q,Standard,0
INFINITI,Q40,Standard,0
INFINITI,Q50,Standard,0
INFINITI,Q60,Standard,0
INFINITI,Q70,Standard,0
INFINITI,QX,Standard,0
INFINITI,QX30,Standard,0
INFINITI,QX50,Standard,0
INFINITI,QX55,Standard,0
INFINITI,QX60,Standard,0
INFINITI,QX70,Standard,0
INFINITI,QX80,Standard,0
Isuzu,Amigo,Standard,0
Isuzu,Ascender,Standard,0
Isuzu,Axiom,Standard,0
Isuzu,Hombre Regular Cab,Standard,0
Isuzu,Hombre Spacecab,Standard,0
Isuzu,Impulse,Standard,0
Isuzu,Oasis,Standard,0
Isuzu,Regular Cab,Standard,0
Isuzu,Rodeo,Standard,0
Isuzu,Rodeo Sport,Standard,0
Isuzu,Spacecab,Standard,0
Isuzu,Stylus,Standard,0
Isuzu,Trooper,Standard,0
Isuzu,VehiCROSS,Standard,0
Isuzu,i-280 Extended Cab,Standard,0
Isuzu,i-290 Extended Cab,Standard,0
Isuzu,i-350 Crew Cab,Standard,0
Isuzu,i-370 Crew Cab,Standard,0
Isuzu,i-370 Extended Cab,Standard,0
Jaguar,E-PACE,Standard,0
Jaguar,F-PACE,Standard,0
Jaguar,F-TYPE,Standard,0
Jaguar,I-PACE,Standard,0
Jaguar,S-Type,Standard,0
Jaguar,X-Type,Standard,0
Jaguar,XE,Standard,0
Jaguar,XF,Standard,0
Jaguar,XJ,Standard,0
Jaguar,XK,Standard,0
Jeep,Cherokee,Standard,0
Jeep,Comanche Regular Cab,Standard,0
Jeep,Commander,Standard,0
Jeep,Compass,Standard,0
Jeep,Gladiator,Standard,0
Jeep,Grand Cherokee,Standard,0
Jeep,Grand Cherokee 4xe,Standard,0
Jeep,Grand Cherokee L,Standard,0
Jeep,Grand Wagoneer,Standard,0
Jeep,Grand Wagoneer L,Standard,0
Jeep,Liberty,Standard,0
Jeep,Patriot,Standard,0
Jeep,Recon,Standard,0
Jeep,Renegade,Standard,0
Jeep,Wagoneer,Standard,0
Jeep,Wagoneer L,Standard,0
Jeep,Wrangler,Standard,0
Jeep,Wrangler 2 Door,Standard,0
Jeep,Wrangler 4 Door,Standard,0
Jeep,Wrangler 4xe,Standard,0
Jeep,Wrangler Unlimited,Standard,0
Jeep,Wrangler Unlimited 4xe,Standard,0
Kia,Amanti,Standard,0
Kia,Borrego,Standard,0
Kia,Cadenza,Standard,0
Kia,Carnival,Standard,0
Kia,EV6,Standard,0
Kia,EV9,Standard,0
Kia,Forte,Standard,0
Kia,Forte Koup,Standard,0
Kia,Forte5,Standard,0
Kia,K5,Standard,0
Kia,K900,Standard,0
Kia,Niro,Standard,0
Kia,Niro EV,Standard,0
Kia,Niro Plug-in Hybrid,Standard,0
Kia,Optima,Standard,0
Kia,Optima (2006.5),Standard,0
Kia,Optima Hybrid,Standard,0
Kia,Optima Plug-in Hybrid,Standard,0
Kia,Rio,Standard,0
Kia,Rondo,Standard,0
Kia,Sedona,Standard,0
Kia,Seltos,Standard,0
Kia,Sephia,Standard,0
Kia,Sorento,Standard,0
Kia,Sorento Hybrid,Standard,0
Kia,Sorento Plug-in Hybrid,Standard,0
Kia,Soul,Standard,0
Kia,Soul EV,Standard,0
Kia,Spectra,Standard,0
Kia,Sportage,Standard,0
Kia,Sportage Hybrid,Standard,0
Kia,Sportage Plug-in Hybrid,Standard,0
Kia,Stinger,Standard,0
Kia,Telluride,Standard,0
Lamborghini,Aventador,Standard,0.25
Lamborghini,Gallardo,Standard,0.25
Lamborghini,Huracan,Standard,0.25
Lamborghini,Murcielago,Standard,0.25
Lamborghini,Murcielago LP640,Standard,0.25
Lamborghini,Urus,Standard,0.25
Land Rover,Defender 110,Standard,0
Land Rover,Defender 130,Standard,0
Land Rover,Defender 90,Standard,0
Land Rover,Discovery,Standard,0
Land Rover,Discovery Series II,Standard,0
Land Rover,Discovery Sport,Standard,0
Land Rover,Freelander,Standard,0
Land Rover,LR2,Standard,0
Land Rover,LR3,Standard,0
Land Rover,LR4,Standard,0
Land Rover,Range Rover,Standard,0
Land Rover,Range Rover Evoque,Standard,0
Land Rover,Range Rover Sport,Standard,0
Land Rover,Range Rover Velar,Standard,0
Lexus,CT,Standard,0
Lexus,ES,Standard,0
Lexus,GS,Standard,0
Lexus,GX,Standard,0
Lexus,HS,Standard,0
Lexus,IS,Standard,0
Lexus,IS F,Standard,0
Lexus,LC,Standard,0
Lexus,LFA,Standard,0
Lexus,LS,Standard,0
Lexus,LX,Standard,0
Lexus,NX,Standard,0
Lexus,RC,Standard,0
Lexus,RX,Standard,0
Lexus,RZ,Standard,0
Lexus,SC,Standard,0
Lexus,TX,Standard,0
Lexus,UX,Standard,0
Lincoln,Aviator,Standard,0
Lincoln,Blackwood,Standard,0
Lincoln,Continental,Standard,0
Lincoln,Corsair,Standard,0
Lincoln,LS,Standard,0
Lincoln,MKC,Standard,0
Lincoln,MKS,Standard,0
Lincoln,MKT,Standard,0
Lincoln,MKX,Standard,0
Lincoln,MKZ,Standard,0
Lincoln,Mark LT,Standard,0
Lincoln,Mark VII,Standard,0
Lincoln,Mark VIII,Standard,0
Lincoln,Nautilus,Standard,0
Lincoln,Navigator,Standard,0
Lincoln,Navigator L,Standard,0
Lincoln,Town Car,Standard,0
Lincoln,Zephyr,Standard,0
Lotus,Elise,Standard,0.25
Lotus,Evora,Standard,0.25
Lotus,Evora 400,Standard,0.25
Lotus,Evora GT,Standard,0.25
Lotus,Exige,Standard,0.25
Lotus,Exige S,Standard,0.25
Lucid,Air,Standard,0
Lucid,Gravity,Standard,0
MAZDA,323,Standard,0
MAZDA,626,Standard,0
MAZDA,929,Standard,0
MAZDA,B-Series Cab Plus,Standard,0
MAZDA,B-Series Extended Cab,Standard,0
MAZDA,B-Series Regular Cab,Standard,0
MAZDA,CX-3,Standard,0
MAZDA,CX-30,Standard,0
MAZDA,CX-5,Standard,0
MAZDA,CX-50,Standard,0
MAZDA,CX-7,Standard,0
MAZDA,CX-70,Standard,0
MAZDA,CX-9,Standard,0
MAZDA,CX-90,Standard,0
MAZDA,CX-90 PHEV,Standard,0
MAZDA,MAZDA2,Standard,0
MAZDA,MAZDA3,Standard,0
MAZDA,MAZDA5,Standard,0
MAZDA,MAZDA6,Standard,0
MAZDA,MPV,Standard,0
MAZDA,MX-3,Standard,0
MAZDA,MX-30,Standard,0
MAZDA,MX-5 Miata,Standard,0
MAZDA,MX-5 Miata RF,Standard,0
MAZDA,MX-6,Standard,0
MAZDA,Millenia,Standard,0
MAZDA,Navajo,Standard,0
MAZDA,Protege,Standard,0
MAZDA,Protege5,Standard,0
MAZDA,RX-7,Standard,0
MAZDA,RX-8,Standard,0
MAZDA,Tribute,Standard,0
MINI,Clubman,Standard,0
MINI,Convertible,Standard,0
MINI,Cooper,Standard,0
MINI,Countryman,Standard,0
MINI,Coupe,Standard,0
MINI,Hardtop,Standard,0
MINI,Hardtop 2 Door,Standard,0
MINI,Hardtop 4 Door,Standard,0
MINI,Paceman,Standard,0
MINI,Roadster,Standard,0
Maserati,Coupe,Standard,0.2
Maserati,Ghibli,Standard,0.2
Maserati,GranSport,Standard,0.2
Maserati,GranTurismo,Standard,0.2
Maserati,Grecale,Standard,0.2
Maserati,Levante,Standard,0.2
Maserati,MC20,Standard,0.2
Maserati,Quattroporte,Standard,0.2
Maybach,57,Standard,0.25
Maybach,62,Standard,0.25
McLaren,570GT,Standard,0.25
McLaren,570S,Standard,0.25
McLaren,600LT,Standard,0.25
McLaren,650S,Standard,0.25
McLaren,675LT,Standard,0.25
McLaren,720S,Standard,0.25
McLaren,MP4-12C,Standard,0.25
Mercedes-Benz,190 E,Standard,0
Mercedes-Benz,300 CE,Standard,0
Mercedes-Benz,300 D,Standard,0
Mercedes-Benz,300 E,Standard,0
Mercedes-Benz,300 SD,Standard,0
Mercedes-Benz,300 SE,Standard,0
Mercedes-Benz,300 SL,Standard,0
Mercedes-Benz,300 TE,Standard,0
Mercedes-Benz,400 E,Standard,0
Mercedes-Benz,400 SE,Standard,0
Mercedes-Benz,400 SEL,Standard,0
Mercedes-Benz,500 E,Standard,0
Mercedes-Benz,500 SEC,Standard,0
Mercedes-Benz,500 SEL,Standard,0
Mercedes-Benz,500 SL,Standard,0
Mercedes-Benz,600 SEC,Standard,0
Mercedes-Benz,600 SEL,Standard,0
Mercedes-Benz,600 SL,Standard,0
Mercedes-Benz,A-Class,Standard,0
Mercedes-Benz,B-Class,Standard,0
Mercedes-Benz,C-Class,Standard,0
Mercedes-Benz,CL-Class,Standard,0
Mercedes-Benz,CLA,Standard,0
Mercedes-Benz,CLA-Class,Standard,0
Mercedes-Benz,CLE,Standard,0
Mercedes-Benz,CLK-Class,Standard,0
Mercedes-Benz,CLS,Standard,0
Mercedes-Benz,CLS-Class,Standard,0
Mercedes-Benz,E-Class,Standard,0
Mercedes-Benz,G-Class,Standard,0
Mercedes-Benz,GL-Class,Standard,0
Mercedes-Benz,GLA,Standard,0
Mercedes-Benz,GLA-Class,Standard,0
Mercedes-Benz,GLB,Standard,0
Mercedes-Benz,GLC,Standard,0
Mercedes-Benz,GLC Coupe,Standard,0
Mercedes-Benz,GLE,Standard,0
Mercedes-Benz,GLE Coupe,Standard,0
Mercedes-Benz,GLK-Class,Standard,0
Mercedes-Benz,GLS,Standard,0
Mercedes-Benz,M-Class,Standard,0
Mercedes-Benz,Mercedes-AMG A-Class,Standard,0
Mercedes-Benz,Mercedes-AMG C-Class,Standard,0
Mercedes-Benz,Mercedes-AMG CLA,Standard,0
Mercedes-Benz,Mercedes-AMG CLS,Standard,0
Mercedes-Benz,Mercedes-AMG E-Class,Standard,0
Mercedes-Benz,Mercedes-AMG EQE,Standard,0
Mercedes-Benz,Mercedes-AMG EQE SUV,Standard,0
Mercedes-Benz,Mercedes-AMG EQS,Standard,0
Mercedes-Benz,Mercedes-AMG G-Class,Standard,0
Mercedes-Benz,Mercedes-AMG GLA,Standard,0
Mercedes-Benz,Mercedes-AMG GLB,Standard,0
Mercedes-Benz,Mercedes-AMG GLC,Standard,0
Mercedes-Benz,Mercedes-AMG GLC Coupe,Standard,0
Mercedes-Benz,Mercedes-AMG GLE,Standard,0
Mercedes-Benz,Mercedes-AMG GLE Coupe,Standard,0
Mercedes-Benz,Mercedes-AMG GLS,Standard,0
Mercedes-Benz,Mercedes-AMG GT,Standard,0
Mercedes-Benz,Mercedes-AMG S-Class,Standard,0
Mercedes-Benz,Mercedes-AMG SL,Standard,0
Mercedes-Benz,Mercedes-AMG SLC,Standard,0
Mercedes-Benz,Mercedes-AMG SLK,Standard,0
Mercedes-Benz,Mercedes-EQ EQB,Standard,0
Mercedes-Benz,Mercedes-EQ EQE,Standard,0
Mercedes-Benz,Mercedes-EQ EQE SUV,Standard,0
Mercedes-Benz,Mercedes-EQ EQS,Standard,0
Mercedes-Benz,Mercedes-EQ EQS SUV,Standard,0
Mercedes-Benz,Mercedes-Maybach EQS SUV,Standard,0
Mercedes-Benz,Mercedes-Maybach GLS,Standard,0
Mercedes-Benz,Mercedes-Maybach S 600,Standard,0
Mercedes-Benz,Mercedes-Maybach S-Class,Standard,0
Mercedes-Benz,Metris Cargo,Standard,0
Mercedes-Benz,Metris Passenger,Standard,0
Mercedes-Benz,Metris WORKER Cargo,Standard,0
Mercedes-Benz,Metris WORKER Passenger,Standard,0
Mercedes-Benz,R-Class,Standard,0
Mercedes-Benz,S-Class,Standard,0
Mercedes-Benz,SL,Standard,0
Mercedes-Benz,SL-Class,Standard,0
Mercedes-Benz,SLC,Standard,0
Mercedes-Benz,SLK,Standard,0
Mercedes-Benz,SLK-Class,Standard,0
Mercedes-Benz,SLR McLaren,Standard,0
Mercedes-Benz,SLS-Class,Standard,0
Mercedes-Benz,Sprinter 1500 Cargo,Standard,0
Mercedes-Benz,Sprinter 1500 Passenger,Standard,0
Mercedes-Benz,Sprinter 2500 Cargo,Standard,0
Mercedes-Benz,Sprinter 2500 Crew,Standard,0
Mercedes-Benz,Sprinter 2500 Passenger,Standard,0
Mercedes-Benz,Sprinter 3500 Cargo,Standard,0
Mercedes-Benz,Sprinter 3500 Crew,Standard,0
Mercedes-Benz,Sprinter 3500 XD Cargo,Standard,0
Mercedes-Benz,Sprinter 3500 XD Crew,Standard,0
Mercedes-Benz,Sprinter 4500 Cargo,Standard,0
Mercedes-Benz,Sprinter 4500 Crew,Standard,0
Mercedes-Benz,Sprinter WORKER Cargo,Standard,0
Mercedes-Benz,Sprinter WORKER Passenger,Standard,0
Mercedes-Benz,eSprinter,Standard,0
Mercury,Capri,Standard,0
Mercury,Cougar,Standard,0
Mercury,Grand Marquis,Standard,0
Mercury,Marauder,Standard,0
Mercury,Mariner,Standard,0
Mercury,Milan,Standard,0
Mercury,Montego,Standard,0
Mercury,Monterey,Standard,0
Mercury,Mountaineer,Standard,0
Mercury,Mystique,Standard,0
Mercury,Sable,Standard,0
Mercury,Topaz,Standard,0
Mercury,Tracer,Standard,0
Mercury,Villager,Standard,0
Mitsubishi,3000GT,Standard,0
Mitsubishi,Diamante,Standard,0
Mitsubishi,Eclipse,Standard,0
Mitsubishi,Eclipse Cross,Standard,0
Mitsubishi,Endeavor,Standard,0
Mitsubishi,Expo,Standard,0
Mitsubishi,Galant,Standard,0
Mitsubishi,Lancer,Standard,0
Mitsubishi,Lancer Evolution,Standard,0
Mitsubishi,Mighty Max Macro Cab,Standard,0
Mitsubishi,Mighty Max Regular Cab,Standard,0
Mitsubishi,Mirage,Standard,0
Mitsubishi,Mirage G4,Standard,0
Mitsubishi,Montero,Standard,0
Mitsubishi,Montero Sport,Standard,0
Mitsubishi,Outlander,Standard,0
Mitsubishi,Outlander PHEV,Standard,0
Mitsubishi,Outlander Sport,Standard,0
Mitsubishi,Precis,Standard,0
Mitsubishi,Raider Double Cab,Standard,0
Mitsubishi,Raider Extended Cab,Standard,0
Mitsubishi,i-MiEV,Standard,0
Nissan,200SX,Standard,0
Nissan,240SX,Standard,0
Nissan,300ZX,Standard,0
Nissan,350Z,Standard,0
Nissan,370Z,Standard,0
Nissan,400Z,Standard,0
Nissan,Altima,Standard,0
Nissan,Ariya,Standard,0
Nissan,Armada,Standard,0
Nissan,Frontier Crew Cab,Standard,0
Nissan,Frontier King Cab,Standard,0
Nissan,Frontier Regular Cab,Standard,0
Nissan,GT-R,Standard,0
Nissan,JUKE,Standard,0
Nissan,Kicks,Standard,0
Nissan,King Cab,Standard,0
Nissan,LEAF,Standard,0
Nissan,Maxima,Standard,0
Nissan,Murano,Standard,0
Nissan,NV1500 Cargo,Standard,0
Nissan,NV200,Standard,0
Nissan,NV200 Taxi,Standard,0
Nissan,NV2500 HD Cargo,Standard,0
Nissan,NV3500 HD Cargo,Standard,0
Nissan,NV3500 HD Passenger,Standard,0
Nissan,NX,Standard,0
Nissan,Pathfinder,Standard,0
Nissan,Pathfinder Armada,Standard,0
Nissan,Quest,Standard,0
Nissan,Regular Cab,Standard,0
Nissan,Rogue,Standard,0
Nissan,Rogue Select,Standard,0
Nissan,Rogue Sport,Standard,0
Nissan,Sentra,Standard,0
Nissan,Stanza,Standard,0
Nissan,TITAN Single Cab,Standard,0
Nissan,TITAN XD Crew Cab,Standard,0
Nissan,TITAN XD King Cab,Standard,0
Nissan,TITAN XD Single Cab,Standard,0
Nissan,Titan Crew Cab,Standard,0
Nissan,Titan King Cab,Standard,0
Nissan,Versa,Standard,0
Nissan,Versa Note,Standard,0
Nissan,Xterra,Standard,0
Nissan,Z,Standard,0
Nissan,cube,Standard,0
Oldsmobile,88,Standard,0
Oldsmobile,98,Standard,0
Oldsmobile,Achieva,Standard,0
Oldsmobile,Alero,Standard,0
Oldsmobile,Aurora,Standard,0
Oldsmobile,Bravada,Standard,0
Oldsmobile,Ciera,Standard,0
Oldsmobile,Custom Cruiser,Standard,0
Oldsmobile,Cutlass,Standard,0
Oldsmobile,Cutlass Ciera,Standard,0
Oldsmobile,Cutlass Cruiser,Standard,0
Oldsmobile,Cutlass Supreme,Standard,0
Oldsmobile,Intrigue,Standard,0
Oldsmobile,LSS,Standard,0
Oldsmobile,Regency,Standard,0
Oldsmobile,Silhouette,Standard,0
Oldsmobile,Toronado,Standard,0
Panoz,Esperante,Standard,0.15
Plymouth,Acclaim,Standard,0
Plymouth,Breeze,Standard,0
Plymouth,Colt,Standard,0
Plymouth,Colt Vista,Standard,0
Plymouth,Grand Voyager,Standard,0
Plymouth,Laser,Standard,0
Plymouth,Neon,Standard,0
Plymouth,Prowler,Standard,0
Plymouth,Sundance,Standard,0
Plymouth,Voyager,Standard,0
Polestar,1,Standard,0
Polestar,2,Standard,0
Polestar,3,Standard,0
Polestar,4,Standard,0
Polestar,5,Standard,0
Pontiac,Aztek,Standard,0
Pontiac,Bonneville,Standard,0
Pontiac,Firebird,Standard,0
Pontiac,G3,Standard,0
Pontiac,G5,Standard,0
Pontiac,G6,Standard,0
Pontiac,G6 (2009.5),Standard,0
Pontiac,G8,Standard,0
Pontiac,GTO,Standard,0
Pontiac,Grand Am,Standard,0
Pontiac,Grand Prix,Standard,0
Pontiac,LeMans,Standard,0
Pontiac,Montana,Standard,0
Pontiac,Montana SV6,Standard,0
Pontiac,Solstice,Standard,0
Pontiac,Sunbird,Standard,0
Pontiac,Sunfire,Standard,0
Pontiac,Torrent,Standard,0
Pontiac,Trans Sport,Standard,0
Pontiac,Vibe,Standard,0
Porsche,718 Boxster,Standard,0.15
Porsche,718 Cayman,Standard,0.15
Porsche,718 Spyder,Standard,0.15
Porsche,911,Standard,0.15
Porsche,928,Standard,0.15
Porsche,968,Standard,0.15
Porsche,Boxster,Standard,0.15
Porsche,Carrera GT,Standard,0.15
Porsche,Cayenne,Standard,0.15
Porsche,Cayenne Coupe,Standard,0.15
Porsche,Cayman,Standard,0.15
Porsche,Macan,Standard,0.15
Porsche,Panamera,Standard,0.15
Porsche,Taycan,Standard,0.15
Porsche,Taycan Cross Turismo,Standard,0.15
Porsche,Taycan Sport Turismo,Standard,0.15
Ram,1500 Classic Crew Cab,Standard,0
Ram,1500 Classic Quad Cab,Standard,0
Ram,1500 Classic Regular Cab,Standard,0
Ram,1500 Crew Cab,Standard,0
Ram,1500 Quad Cab,Standard,0
Ram,1500 REV,Standard,0
Ram,1500 Ramcharger,Standard,0
Ram,1500 Regular Cab,Standard,0
Ram,2500 Crew Cab,Standard,0
Ram,2500 Mega Cab,Standard,0
Ram,2500 Regular Cab,Standard,0
Ram,3500 Crew Cab,Standard,0
Ram,3500 Mega Cab,Standard,0
Ram,3500 Regular Cab,Standard,0
Ram,C/V,Standard,0
Ram,C/V Tradesman,Standard,0
Ram,Dakota Crew Cab,Standard,0
Ram,Dakota Extended Cab,Standard,0
Ram,ProMaster 1500 Cargo,Standard,0
Ram,ProMaster 2500 Cargo,Standard,0
Ram,ProMaster 3500 Cargo,Standard,0
Ram,ProMaster Cargo Van,Standard,0
Ram,ProMaster City,Standard,0
Ram,ProMaster Window Van,Standard,0
Rivian,R1S,Standard,0
Rivian,R1T,Standard,0
Rolls-Royce,Cullinan,Standard,0.2
Rolls-Royce,Dawn,Standard,0.2
Rolls-Royce,Ghost,Standard,0.2
Rolls-Royce,Phantom,Standard,0.2
Rolls-Royce,Wraith,Standard,0.2
SRT,Viper,Standard,0
Saab,9-2X,Standard,0
Saab,45903,Standard,0
Saab,9-4X,Standard,0
Saab,45905,Standard,0
Saab,9-7X,Standard,0
Saab,900,Standard,0
Saab,9000,Standard,0
Saturn,Astra,Standard,0
Saturn,Aura,Standard,0
Saturn,Ion,Standard,0
Saturn,L-Series,Standard,0
Saturn,Outlook,Standard,0
Saturn,Relay,Standard,0
Saturn,S-Series,Standard,0
Saturn,SKY,Standard,0
Saturn,VUE,Standard,0
Scion,FR-S,Standard,0
Scion,iA,Standard,0
Scion,iM,Standard,0
Scion,iQ,Standard,0
Scion,tC,Standard,0
Scion,xA,Standard,0
Scion,xB,Standard,0
Scion,xD,Standard,0
Subaru,Ascent,Standard,0
Subaru,B9 Tribeca,Standard,0
Subaru,BRZ,Standard,0
Subaru,Baja,Standard,0
Subaru,Crosstrek,Standard,0
Subaru,Forester,Standard,0
Subaru,Impreza,Standard,0
Subaru,Justy,Standard,0
Subaru,Legacy,Standard,0
Subaru,Loyale,Standard,0
Subaru,Outback,Standard,0
Subaru,SVX,Standard,0
Subaru,Solterra,Standard,0
Subaru,Tribeca,Standard,0
Subaru,WRX,Standard,0
Subaru,XV Crosstrek,Standard,0
Suzuki,Aerio,Standard,0
Suzuki,Equator Crew Cab,Standard,0
Suzuki,Equator Extended Cab,Standard,0
Suzuki,Esteem,Standard,0
Suzuki,Forenza,Standard,0
Suzuki,Grand Vitara,Standard,0
Suzuki,Kizashi,Standard,0
Suzuki,Reno,Standard,0
Suzuki,SX4,Standard,0
Suzuki,Samurai,Standard,0
Suzuki,Sidekick,Standard,0
Suzuki,Swift,Standard,0
Suzuki,Verona,Standard,0
Suzuki,Vitara,Standard,0
Suzuki,X-90,Standard,0
Suzuki,XL-7,Standard,0
Suzuki,XL7,Standard,0
Tesla,Cybertruck,Standard,0.15
Tesla,Model 3,Standard,0.15
Tesla,Model S,Standard,0.15
Tesla,Model X,Standard,0.15
Tesla,Model Y,Standard,0.15
Toyota,4Runner,Standard,0
Toyota,86,Standard,0
Toyota,Avalon,Standard,0
Toyota,Avalon Hybrid,Standard,0
Toyota,C-HR,Standard,0
Toyota,Camry,Standard,0
Toyota,Camry Hybrid,Standard,0
Toyota,Celica,Standard,0
Toyota,Corolla,Standard,0
Toyota,Corolla Cross,Standard,0
Toyota,Corolla Cross Hybrid,Standard,0
Toyota,Corolla Hatchback,Standard,0
Toyota,Corolla Hybrid,Standard,0
Toyota,Corolla iM,Standard,0
Toyota,Cressida,Standard,0
Toyota,Crown,Standard,0
Toyota,Crown Signia,Standard,0
Toyota,Echo,Standard,0
Toyota,FJ Cruiser,Standard,0
Toyota,GR Corolla,Standard,0
Toyota,GR Supra,Standard,0
Toyota,GR86,Standard,0
Toyota,Grand Highlander,Standard,0
Toyota,Grand Highlander Hybrid,Standard,0
Toyota,Highlander,Standard,0
Toyota,Highlander Hybrid,Standard,0
Toyota,Land Cruiser,Standard,0
Toyota,MR2,Standard,0
Toyota,Matrix,Standard,0
Toyota,Mirai,Standard,0
Toyota,Paseo,Standard,0
Toyota,Previa,Standard,0
Toyota,Prius,Standard,0
Toyota,Prius Plug-in Hybrid,Standard,0
Toyota,Prius Prime,Standard,0
Toyota,Prius c,Standard,0
Toyota,Prius v,Standard,0
Toyota,RAV4,Standard,0
Toyota,RAV4 Hybrid,Standard,0
Toyota,RAV4 Prime,Standard,0
Toyota,Regular Cab,Standard,0
Toyota,Sequoia,Standard,0
Toyota,Sienna,Standard,0
Toyota,Solara,Standard,0
Toyota,Supra,Standard,0
Toyota,T100 Regular Cab,Standard,0
Toyota,T100 Xtracab,Standard,0
Toyota,Tacoma Access Cab,Standard,0
Toyota,Tacoma Double Cab,Standard,0
Toyota,Tacoma Regular Cab,Standard,0
Toyota,Tacoma XtraCab,Standard,0
Toyota,Tacoma Xtracab,Standard,0
Toyota,Tercel,Standard,0
Toyota,Tundra Access Cab,Standard,0
Toyota,Tundra CrewMax,Standard,0
Toyota,Tundra Double Cab,Standard,0
Toyota,Tundra Hybrid CrewMax,Standard,0
Toyota,Tundra Regular Cab,Standard,0
Toyota,Venza,Standard,0
Toyota,Xtra Cab,Standard,0
Toyota,Yaris,Standard,0
Toyota,Yaris Hatchback,Standard,0
Toyota,Yaris iA,Standard,0
Toyota,bZ4X,Standard,0
VinFast,VF 6,Standard,0
VinFast,VF 7,Standard,0
VinFast,VF 8,Standard,0
VinFast,VF 9,Standard,0
Volkswagen,Arteon,Standard,0
Volkswagen,Atlas,Standard,0
Volkswagen,Atlas Cross Sport,Standard,0
Volkswagen,Beetle,Standard,0
Volkswagen,CC,Standard,0
Volkswagen,Cabrio,Standard,0
Volkswagen,Cabrio (New),Standard,0
Volkswagen,Cabriolet,Standard,0
Volkswagen,Corrado,Standard,0
Volkswagen,Eos,Standard,0
Volkswagen,Eurovan,Standard,0
Volkswagen,Fox,Standard,0
Volkswagen,GLI,Standard,0
Volkswagen,GTI,Standard,0
Volkswagen,GTI (New),Standard,0
Volkswagen,Golf,Standard,0
Volkswagen,Golf (New),Standard,0
Volkswagen,Golf Alltrack,Standard,0
Volkswagen,Golf GTI,Standard,0
Volkswagen,Golf III,Standard,0
Volkswagen,Golf R,Standard,0
Volkswagen,Golf SportWagen,Standard,0
Volkswagen,ID.4,Standard,0
Volkswagen,ID.7,Standard,0
Volkswagen,ID.Buzz,Standard,0
Volkswagen,Jetta,Standard,0
Volkswagen,Jetta (New),Standard,0
Volkswagen,Jetta GLI,Standard,0
Volkswagen,Jetta III,Standard,0
Volkswagen,Jetta SportWagen,Standard,0
Volkswagen,New Beetle,Standard,0
Volkswagen,Passat,Standard,0
Volkswagen,Passat (New),Standard,0
Volkswagen,Phaeton,Standard,0
Volkswagen,R32,Standard,0
Volkswagen,Rabbit,Standard,0
Volkswagen,Routan,Standard,0
Volkswagen,Taos,Standard,0
Volkswagen,Tiguan,Standard,0
Volkswagen,Tiguan Limited,Standard,0
Volkswagen,Touareg,Standard,0
Volkswagen,Touareg 2,Standard,0
Volkswagen,e-Golf,Standard,0
Volvo,240,Standard,0
Volvo,740,Standard,0
Volvo,850,Standard,0
Volvo,940,Standard,0
Volvo,960,Standard,0
Volvo,C30,Standard,0
Volvo,C40 Recharge,Standard,0
Volvo,C70,Standard,0
Volvo,EX30,Standard,0
Volvo,EX90,Standard,0
Volvo,S40,Standard,0
Volvo,S40 (New),Standard,0
Volvo,S60,Standard,0
Volvo,S70,Standard,0
Volvo,S80,Standard,0
Volvo,S90,Standard,0
Volvo,V40,Standard,0
Volvo,V50,Standard,0
Volvo,V60,Standard,0
Volvo,V70,Standard,0
Volvo,V90,Standard,0
Volvo,XC40,Standard,0
Volvo,XC40 Recharge,Standard,0
Volvo,XC60,Standard,0
Volvo,XC70,Standard,0
Volvo,XC90,Standard,0
smart,fortwo,Standard,0
smart,fortwo EQ cabrio,Standard,0
smart,fortwo EQ coupe,Standard,0
smart,fortwo cabrio,Standard,0
smart,fortwo electric drive,Standard,0
smart,fortwo electric drive cabrio,Standard,0
